1 231.81746436
2 231.81767094
4 231.81255430
5 231.80742076
8 231.78826206
11 231.76051701
17 231.70881635
24 231.65359419
34 231.64014235
49 231.74468676
70 231.93978472
100 232.00170424
143 232.09711337
204 232.00100805
290 231.40092114
414 231.26247154
591 230.86107612
842 228.77679167
1201 227.18162648
1712 228.77420956
2440 226.55385857
3479 227.00727781
4960 229.71543632
7071 231.13715901
10080 239.73108943
14369 246.79087790
20484 241.01180254
29201 243.23393158
41627 246.86396266
59341 238.75316050
84594 237.83340026
120592 232.93618401
171909 239.19617067
245063 251.70755373
349348 234.13163699
498009 273.72721454
709932 273.19438227
1012037 279.07197943
1442699 311.99989158
2056626 364.25215235
2931803 349.33118589
4179402 344.17644001
5957905 384.29079796
8493232 411.14147189
12107442 394.75825128
17259642 394.27018415
