1.000000000000000000e+00 1.172999999999999982e-07
3.000000000000000000e+00 1.025799999999999987e-06
4.000000000000000000e+00 1.795700000000000019e-06
7.000000000000000000e+00 5.281299999999999732e-06
1.000000000000000000e+01 1.036339999999999974e-05
1.600000000000000000e+01 2.464110000000000028e-05
2.300000000000000000e+01 4.665079999999999726e-05
3.300000000000000000e+01 9.089819999999999649e-05
4.800000000000000000e+01 1.881902999999999929e-04
6.900000000000000000e+01 3.961684999999999729e-04
9.900000000000000000e+01 7.391222000000000026e-04
1.420000000000000000e+02 1.232170799999999936e-03
2.030000000000000000e+02 2.124231700000000101e-03
2.890000000000000000e+02 3.260942299999999849e-03
4.130000000000000000e+02 4.735327099999999713e-03
5.900000000000000000e+02 6.171710000000000390e-03
8.410000000000000000e+02 8.831978500000000482e-03
1.200000000000000000e+03 1.174108090000000083e-02
1.711000000000000000e+03 1.709994180000000072e-02
2.439000000000000000e+03 2.462064149999999840e-02
3.478000000000000000e+03 3.726176059999999901e-02
4.959000000000000000e+03 5.806770519999999991e-02
7.070000000000000000e+03 8.390885010000000144e-02
1.007900000000000000e+04 1.245779181000000041e-01
1.436800000000000000e+04 1.708695323999999960e-01
2.048300000000000000e+04 2.640403221000000022e-01
2.920000000000000000e+04 3.340074876999999942e-01
4.162600000000000000e+04 4.757416649000000275e-01
5.934000000000000000e+04 6.790843069999999981e-01
8.459300000000000000e+04 9.601911078000000543e-01
1.205910000000000000e+05 1.386857778099999994e+00
1.719080000000000000e+05 2.045305066500000102e+00
2.450620000000000000e+05 2.903938499000000117e+00
3.493470000000000000e+05 3.842702656000000161e+00
4.980080000000000000e+05 6.033256455400000107e+00
7.099310000000000000e+05 9.768357322199999970e+00
1.012036000000000000e+06 1.291009185399999915e+01
1.442698000000000000e+06 1.811228341039999989e+01
2.056625000000000000e+06 2.618756877430000074e+01
2.931802000000000000e+06 3.564757530149999809e+01
4.179401000000000000e+06 5.324648952969999982e+01
5.957904000000000000e+06 7.830339214709999851e+01
8.493231000000000000e+06 1.041302307212999949e+02
1.210744100000000000e+07 1.510780267060000028e+02
1.725964100000000000e+07 1.977791805651000061e+02
2.460430900000000000e+07 2.955400581343000113e+02
3.507442700000000000e+07 3.958549058286000104e+02
4.999999900000000000e+07 5.640397643518000450e+02
