1 0.0000001173
3 0.0000010258
4 0.0000017957
7 0.0000052813
10 0.0000103634
16 0.0000246411
23 0.0000466508
33 0.0000908982
48 0.0001881903
69 0.0003961685
99 0.0007391222
142 0.0012321708
203 0.0021242317
289 0.0032609423
413 0.0047353271
590 0.0061717100
841 0.0088319785
1200 0.0117410809
1711 0.0170999418
2439 0.0246206415
3478 0.0372617606
4959 0.0580677052
7070 0.0839088501
10079 0.1245779181
14368 0.1708695324
20483 0.2640403221
29200 0.3340074877
41626 0.4757416649
59340 0.6790843070
84593 0.9601911078
120591 1.3868577781
171908 2.0453050665
245062 2.9039384990
349347 3.8427026560
498008 6.0332564554
709931 9.7683573222
1012036 12.9100918540
1442698 18.1122834104
2056625 26.1875687743
2931802 35.6475753015
4179401 53.2464895297
5957904 78.3033921471
8493231 104.1302307213
12107441 151.0780267060
17259641 197.7791805651
24604309 295.5400581343
35074427 395.8549058286
49999999 564.0397643518
